pixel_0_0,pixel_0_1,pixel_0_2,pixel_0_3,pixel_0_4,pixel_0_5,pixel_0_6,pixel_0_7,pixel_1_0,pixel_1_1,pixel_1_2,pixel_1_3,pixel_1_4,pixel_1_5,pixel_1_6,pixel_1_7,pixel_2_0,pixel_2_1,pixel_2_2,pixel_2_3,pixel_2_4,pixel_2_5,pixel_2_6,pixel_2_7,pixel_3_0,pixel_3_1,pixel_3_2,pixel_3_3,pixel_3_4,pixel_3_5,pixel_3_6,pixel_3_7,pixel_4_0,pixel_4_1,pixel_4_2,pixel_4_3,pixel_4_4,pixel_4_5,pixel_4_6,pixel_4_7,pixel_5_0,pixel_5_1,pixel_5_2,pixel_5_3,pixel_5_4,pixel_5_5,pixel_5_6,pixel_5_7,pixel_6_0,pixel_6_1,pixel_6_2,pixel_6_3,pixel_6_4,pixel_6_5,pixel_6_6,pixel_6_7,pixel_7_0,pixel_7_1,pixel_7_2,pixel_7_3,pixel_7_4,pixel_7_5,pixel_7_6,pixel_7_7
4.83,4.96,4.83,5.02,5.27,5.21,4.96,5.02,4.83,5.02,6.34,8.85,8.03,7.03,6.34,5.02,4.83,4.96,7.97,6.09,4.83,5.02,7.4,5.4,4.89,4.77,5.46,7.72,6.59,6.71,6.09,4.83,4.71,4.96,6.78,7.91,7.84,5.21,4.96,4.83,4.45,6.21,7.09,4.2,6.9,5.46,4.71,4.77,4.64,5.33,6.78,6.02,6.59,5.08,4.71,4.77,4.77,4.64,4.96,5.33,4.64,4.64,4.71,4.71
4.64,4.52,4.52,4.58,4.58,4.58,4.58,4.58,4.64,5.46,5.71,5.65,5.71,5.77,6.21,4.83,4.52,7.34,6.59,5.71,5.65,5.15,4.77,4.58,4.45,6.65,6.53,5.58,5.58,6.15,5.77,4.33,4.64,4.39,4.27,4.39,4.27,5.52,6.4,4.27,4.96,6.71,5.15,4.96,5.08,6.4,4.89,4.33,4.52,5.08,5.71,6.21,5.77,4.83,4.27,4.33,4.45,4.27,4.27,4.27,4.14,4.33,4.45,4.39
4.77,4.77,4.77,4.64,4.71,4.71,4.71,4.64,4.77,4.77,5.15,6.09,5.15,4.96,4.83,4.77,4.77,4.58,6.21,6.53,6.9,5.27,4.71,4.71,4.71,5.08,7.72,5.77,7.4,5.9,5.52,4.96,4.58,5.21,6.84,5.9,7.78,5.96,5.58,4.89,4.64,4.64,4.52,4.83,7.15,4.83,4.52,4.58,4.64,4.71,4.83,4.96,5.96,5.02,4.77,4.64,4.64,4.64,4.71,4.77,4.58,4.71,4.71,4.64
5.02,5.02,6.27,6.84,6.09,5.08,4.89,4.83,4.83,6.46,7.15,5.46,8.16,6.02,4.83,4.96,4.77,5.58,6.53,5.77,7.59,5.65,4.89,4.89,4.83,4.77,4.89,4.96,6.9,5.33,4.83,4.83,4.77,4.83,4.89,4.96,7.03,5.15,4.77,4.77,4.77,4.83,4.89,4.89,6.84,5.08,4.77,4.71,4.71,4.77,4.96,4.96,7.34,5.46,4.71,4.77,4.77,4.71,4.83,4.83,6.65,5.4,4.71,4.83
4.83,4.83,5.02,4.89,4.83,4.71,4.58,4.58,4.83,4.64,5.96,8.41,5.02,4.64,4.45,4.45,4.45,4.52,5.08,9.41,5.96,4.45,4.45,4.39,4.33,4.52,4.39,7.65,8.03,4.45,4.58,4.45,4.33,4.45,4.45,5.9,8.85,4.83,4.77,4.52,4.39,4.58,4.83,5.08,8.47,6.21,4.71,4.58,4.33,4.45,4.64,4.58,6.27,6.53,4.52,4.58,4.33,4.33,4.39,4.39,4.27,4.27,4.39,4.39
4.83,5.33,5.52,5.71,5.96,5.58,5.08,4.89,6.34,7.03,6.59,6.65,6.78,7.65,5.08,4.96,5.15,4.83,4.58,4.39,4.89,7.09,4.89,4.89,4.64,4.71,5.21,5.71,6.34,7.78,5.71,5.4,4.77,4.71,5.46,6.53,7.28,7.97,6.09,5.4,4.71,4.64,4.58,4.14,6.46,6.02,4.27,4.64,4.64,4.64,4.64,4.71,7.47,5.58,4.64,4.71,4.64,4.64,4.64,4.64,5.02,4.64,4.64,4.64
4.52,4.52,4.58,4.64,4.52,4.64,4.58,4.64,4.52,4.64,4.58,4.89,6.46,5.84,4.58,4.77,4.58,4.64,5.08,6.27,5.46,4.83,4.77,4.77,4.64,4.58,7.22,6.84,5.15,4.77,4.77,4.77,4.52,5.46,6.65,5.9,7.03,5.02,4.71,4.77,4.33,6.02,5.9,3.76,5.15,7.28,4.77,4.64,4.39,4.83,6.46,5.84,5.71,6.71,4.71,4.45,4.45,4.39,4.58,5.08,4.89,4.33,4.39,4.45
4.77,4.83,4.77,4.71,4.77,4.64,4.77,4.77,4.89,4.83,5.77,7.28,8.03,8.91,5.84,4.77,4.83,4.96,5.46,6.84,8.41,6.78,5.21,5.02,4.71,4.77,5.02,7.65,7.59,7.15,6.09,4.77,5.15,5.96,4.89,4.71,4.52,6.34,6.84,4.39,4.77,6.21,6.34,5.9,6.15,6.71,5.27,4.71,4.58,4.33,5.02,5.46,5.33,4.89,4.83,4.83,4.58,4.64,4.45,4.45,4.52,4.64,4.77,4.77
4.83,4.77,5.15,4.77,4.83,4.77,4.71,4.64,4.71,6.65,7.47,7.15,5.21,4.83,4.77,4.71,4.64,6.09,5.02,6.84,6.9,4.58,4.77,4.71,4.52,4.45,4.71,5.4,7.65,4.96,4.71,4.64,4.45,4.64,4.39,5.33,7.22,4.64,4.64,4.58,4.45,4.45,7.03,8.91,6.78,5.9,5.58,4.71,4.45,4.52,5.52,5.71,5.65,5.9,5.4,4.58,4.52,4.45,4.2,4.14,4.2,4.27,4.39,4.58
4.83,4.77,4.52,4.77,4.77,4.52,4.64,4.64,4.77,5.08,7.15,7.34,6.65,6.21,4.96,4.71,5.27,6.59,7.34,5.9,5.08,6.53,6.53,4.58,6.15,5.52,4.27,4.64,4.77,4.64,6.96,5.4,6.65,5.46,4.71,4.77,4.64,4.58,7.15,5.71,6.15,6.21,4.77,4.77,4.83,5.84,6.21,4.71,4.64,5.52,5.9,5.84,6.02,5.52,4.39,4.52,4.64,4.52,4.58,4.64,4.45,4.39,4.58,4.52
